"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","nervous system development","GO:0007399","0.014536448745677959","1.8375416786579504","2604","514","93","21026",
"GO:BP","chromosome condensation","GO:0030261","0.014536448745677959","1.8375416786579504","45","514","7","21026",
"GO:BP","establishment of localization","GO:0051234","0.015219195433168846","1.8176083060523707","4928","514","157","21026",
"GO:BP","regulation of localization","GO:0032879","0.015219195433168846","1.8176083060523707","2029","514","76","21026",
"GO:BP","cellular response to stress","GO:0033554","0.015363420136727162","1.813512092822407","1830","514","70","21026",
"GO:BP","generation of neurons","GO:0048699","0.015665021073397598","1.8050690165464551","1536","514","61","21026",
"GO:BP","microtubule-based process","GO:0007017","0.015814701392539623","1.8009390038618598","999","514","44","21026",
"GO:BP","ventricular system development","GO:0021591","0.015817934322859648","1.8008502320114277","33","514","6","21026",
"GO:BP","response to external stimulus","GO:0009605","0.015817934322859648","1.8008502320114277","2415","514","87","21026",
"GO:BP","negative chemotaxis","GO:0050919","0.01595592170663201","1.7970781033763061","47","514","7","21026",
"GO:BP","epithelial cell proliferation involved in salivary gland morphogenesis","GO:0060664","0.01619396457599446","1.7906468150701498","5","514","3","21026",
"GO:BP","macromolecule modification","GO:0043412","0.018774428300966567","1.726433278798668","3030","514","104","21026",
"GO:BP","ossification","GO:0001503","0.018774428300966567","1.726433278798668","430","514","24","21026",
"GO:BP","regulation of cell adhesion mediated by integrin","GO:0033628","0.019223566113096374","1.7161660443688742","49","514","7","21026",
"GO:BP","multicellular organismal process","GO:0032501","0.019493148275472678","1.710118013717321","7322","514","218","21026",
"GO:BP","cell adhesion mediated by integrin","GO:0033627","0.02007506109021467","1.6973431244501402","83","514","9","21026",
"GO:BP","regulation of transport","GO:0051049","0.023992225624982082","1.6199294630861436","1607","514","62","21026",
"GO:BP","regulation of multicellular organismal development","GO:2000026","0.02702633843418471","1.5682127891346058","1418","514","56","21026",
"GO:BP","vasoconstriction","GO:0042310","0.027176215094726442","1.5658110287637608","87","514","9","21026",
"GO:BP","neuronal action potential","GO:0019228","0.028070210919457397","1.5517543240662262","38","514","6","21026",
"GO:BP","response to chemical","GO:0042221","0.028070210919457397","1.5517543240662262","3909","514","127","21026",
"GO:BP","biological regulation","GO:0065007","0.029438173950693036","1.5310891327765705","12743","514","349","21026",
"GO:BP","animal organ development","GO:0048513","0.030499483715968004","1.5157075121680972","3085","514","104","21026",
"GO:BP","protein localization","GO:0008104","0.032123556737902056","1.4931763754068115","2770","514","95","21026",
"GO:BP","regulation of biological process","GO:0050789","0.03214589615713099","1.49287446255541","12336","514","339","21026",
"GO:BP","neurogenesis","GO:0022008","0.033358584843151566","1.4767923815308954","1771","514","66","21026",
"GO:BP","secretion","GO:0046903","0.03343438596534812","1.4758066483668704","992","514","42","21026",
"GO:BP","cellular macromolecule localization","GO:0070727","0.03343438596534812","1.4758066483668704","2782","514","95","21026",
"GO:BP","otic vesicle development","GO:0071599","0.03343438596534812","1.4758066483668704","15","514","4","21026",
"GO:BP","regulation of D-glucose import","GO:0046324","0.03343438596534812","1.4758066483668704","56","514","7","21026",
"GO:BP","cell-cell signaling","GO:0007267","0.03343438596534812","1.4758066483668704","1342","514","53","21026",
"GO:BP","regulation of membrane potential","GO:0042391","0.03344001056090277","1.4757335940756926","458","514","24","21026",
"GO:BP","regulation of defense response","GO:0031347","0.03356527132029457","1.4741098379046376","809","514","36","21026",
"GO:BP","neuron projection morphogenesis","GO:0048812","0.03377649857869057","1.4713853733194604","660","514","31","21026",
"GO:BP","circulatory system process","GO:0003013","0.03380463563664825","1.4710237407468212","602","514","29","21026",
"GO:BP","regulation of D-glucose transmembrane transport","GO:0010827","0.0348290213034203","1.4580587290587266","75","514","8","21026",
"GO:BP","regulation of response to stress","GO:0080134","0.0348290213034203","1.4580587290587266","1387","514","54","21026",
"GO:BP","skeletal muscle thin filament assembly","GO:0030240","0.0348290213034203","1.4580587290587266","7","514","3","21026",
"GO:BP","mammary gland formation","GO:0060592","0.0348290213034203","1.4580587290587266","7","514","3","21026",
"GO:BP","regulation of protein localization","GO:0032880","0.0348290213034203","1.4580587290587266","907","514","39","21026",
"GO:BP","DNA damage response","GO:0006974","0.03493754716151361","1.4567075885234537","908","514","39","21026",
"GO:BP","cell communication","GO:0007154","0.03503977077009473","1.4554387436457543","6540","514","195","21026",
"GO:BP","cell adhesion","GO:0007155","0.036431517455841986","1.4385227390250725","1530","514","58","21026",
"GO:BP","cell-cell adhesion","GO:0098609","0.036431517455841986","1.4385227390250725","976","514","41","21026",
"GO:BP","germ cell development","GO:0007281","0.036431517455841986","1.4385227390250725","386","514","21","21026",
"GO:BP","meiotic chromosome segregation","GO:0045132","0.036431517455841986","1.4385227390250725","96","514","9","21026",
"GO:BP","mesenchymal cell differentiation involved in lung development","GO:0060915","0.036431517455841986","1.4385227390250725","2","514","2","21026",
"GO:BP","ciliary basal body-plasma membrane docking","GO:0097711","0.036431517455841986","1.4385227390250725","2","514","2","21026",
"GO:BP","branch elongation involved in salivary gland morphogenesis","GO:0060667","0.036431517455841986","1.4385227390250725","2","514","2","21026",
"GO:BP","regulation of biological quality","GO:0065008","0.036431517455841986","1.4385227390250725","2947","514","99","21026",
"GO:BP","regulation of system process","GO:0044057","0.036431517455841986","1.4385227390250725","553","514","27","21026",
"GO:BP","mammary gland bud formation","GO:0060615","0.036431517455841986","1.4385227390250725","2","514","2","21026",
"GO:BP","fibroblast growth factor receptor signaling pathway involved in mammary gland specification","GO:0060595","0.036431517455841986","1.4385227390250725","2","514","2","21026",
"GO:BP","regulation of cellular localization","GO:0060341","0.0373846912384707","1.4273062018564655","1013","514","42","21026",
"GO:BP","plasma membrane bounded cell projection morphogenesis","GO:0120039","0.03857267540465888","1.4137202373801583","676","514","31","21026",
"GO:BP","signal release","GO:0023061","0.03857267540465888","1.4137202373801583","501","514","25","21026",
"GO:BP","intracellular signal transduction","GO:0035556","0.038643905767773275","1.4129189855777695","2965","514","99","21026",
"GO:BP","cell projection morphogenesis","GO:0048858","0.04222630625903345","1.374416906770206","681","514","31","21026",
"GO:BP","positive regulation of defense response","GO:0031349","0.0430417263158519","1.3661103183264895","506","514","25","21026",
"GO:BP","signaling","GO:0023052","0.04435177223773233","1.3530890216566063","6515","514","193","21026",
"GO:BP","negative regulation of D-glucose transmembrane transport","GO:0010829","0.04608491412317019","1.3364412174584017","18","514","4","21026",
"GO:BP","monosaccharide transmembrane transport","GO:0015749","0.046343505889180285","1.334011114897969","122","514","10","21026",
"GO:BP","protein modification process","GO:0036211","0.04750617670716672","1.323249920155289","2846","514","95","21026",
"GO:BP","cell motility","GO:0048870","0.04750617670716672","1.323249920155289","1793","514","65","21026",
"GO:BP","neuroblast proliferation","GO:0007405","0.04750617670716672","1.323249920155289","82","514","8","21026",
"GO:BP","regulation of chromosome organization","GO:0033044","0.05051003515583276","1.2966223292112922","242","514","15","21026",
"GO:BP","cell cycle","GO:0007049","0.05051003515583276","1.2966223292112922","1663","514","61","21026",
"GO:BP","vesicle localization","GO:0051648","0.05288187963292108","1.2766931166900046","219","514","14","21026",
"GO:BP","mitotic chromosome condensation","GO:0007076","0.05288187963292108","1.2766931166900046","19","514","4","21026",
"GO:BP","pericardium development","GO:0060039","0.05288187963292108","1.2766931166900046","19","514","4","21026",
"GO:BP","forebrain generation of neurons","GO:0021872","0.05288187963292108","1.2766931166900046","84","514","8","21026",
"GO:BP","neural precursor cell proliferation","GO:0061351","0.052958557279197335","1.276063854652534","171","514","12","21026",
"GO:BP","establishment of organelle localization","GO:0051656","0.054468110089015684","1.2638576934280081","491","514","24","21026",
"GO:BP","limb bud formation","GO:0060174","0.054468110089015684","1.2638576934280081","9","514","3","21026",
"GO:BP","inorganic cation transmembrane transport","GO:0098662","0.05507571651790782","1.259039844104578","854","514","36","21026",
"GO:BP","positive regulation of heart growth","GO:0060421","0.0560061532828496","1.251764255315591","33","514","5","21026",
"GO:BP","circulatory system development","GO:0072359","0.056492031527030584","1.2480128071876408","1145","514","45","21026",
"GO:BP","striated muscle tissue development","GO:0014706","0.056492031527030584","1.2480128071876408","408","514","21","21026",
"GO:BP","regulation of cellular process","GO:0050794","0.056492031527030584","1.2480128071876408","11946","514","326","21026",
"GO:BP","positive regulation of response to external stimulus","GO:0032103","0.05651662643560107","1.247823769755708","642","514","29","21026",
"GO:BP","positive regulation of gene expression","GO:0010628","0.05707433850851533","1.243559113280853","1212","514","47","21026",
"GO:BP","behavior","GO:0007610","0.05742747245389673","1.240880297831344","674","514","30","21026",
"GO:BP","nitrogen compound transport","GO:0071705","0.05742747245389673","1.240880297831344","1923","514","68","21026",
"GO:BP","positive regulation of biological process","GO:0048518","0.057844851557988124","1.2377352890796882","6264","514","185","21026",
"GO:BP","salivary gland morphogenesis","GO:0007435","0.05957202787375723","1.2249576159596938","34","514","5","21026",
"GO:BP","neuron differentiation","GO:0030182","0.06072074048476577","1.2166629408924372","1451","514","54","21026",
"GO:BP","regulation of transmembrane transport","GO:0034762","0.06332244554891617","1.1984423207855184","443","514","22","21026",
"GO:BP","locomotion","GO:0040011","0.06360200739395284","1.1965291770189008","1255","514","48","21026",
"GO:BP","synaptic membrane adhesion","GO:0099560","0.0636216227123083","1.196395258114324","35","514","5","21026",
"GO:BP","skeletal myofibril assembly","GO:0014866","0.0636216227123083","1.196395258114324","10","514","3","21026",
"GO:BP","response to leptin","GO:0044321","0.0636216227123083","1.196395258114324","21","514","4","21026",
"GO:BP","manchette assembly","GO:1905198","0.0636216227123083","1.196395258114324","10","514","3","21026",
"GO:BP","lipid export from cell","GO:0140353","0.0636216227123083","1.196395258114324","51","514","6","21026",
"GO:BP","MAPK cascade","GO:0000165","0.0636216227123083","1.196395258114324","744","514","32","21026",
"GO:BP","sprouting angiogenesis","GO:0002040","0.0636216227123083","1.196395258114324","132","514","10","21026",
"GO:BP","synapse organization","GO:0050808","0.0644412127004221","1.1908362953144913","563","514","26","21026",
"GO:BP","establishment of localization in cell","GO:0051649","0.06453978396338518","1.1901724926610684","2010","514","70","21026",
"GO:BP","negative regulation of bile acid metabolic process","GO:1904252","0.0650677100110809","1.18663447753004","3","514","2","21026",
"GO:BP","glucosamine metabolic process","GO:0006041","0.0650677100110809","1.18663447753004","3","514","2","21026",
"GO:BP","cell morphogenesis involved in neuron differentiation","GO:0048667","0.0650677100110809","1.18663447753004","599","514","27","21026",
"GO:BP","mammary gland bud morphogenesis","GO:0060648","0.0650677100110809","1.18663447753004","3","514","2","21026",
"GO:BP","cellular response to chemical stimulus","GO:0070887","0.0650677100110809","1.18663447753004","2192","514","75","21026",
"GO:BP","carbohydrate transmembrane transport","GO:0034219","0.0650677100110809","1.18663447753004","134","514","10","21026",
"GO:BP","branching involved in salivary gland morphogenesis","GO:0060445","0.0650677100110809","1.18663447753004","22","514","4","21026",
"GO:BP","regulation of neuroblast proliferation","GO:1902692","0.0650677100110809","1.18663447753004","53","514","6","21026",
"GO:BP","ventricular cardiac myofibril assembly","GO:0055005","0.0650677100110809","1.18663447753004","3","514","2","21026",
"GO:BP","negative regulation of bile acid biosynthetic process","GO:0070858","0.0650677100110809","1.18663447753004","3","514","2","21026",
"GO:BP","telencephalon development","GO:0021537","0.0650677100110809","1.18663447753004","284","514","16","21026",
"GO:BP","regulation of neuron migration","GO:2001222","0.0650677100110809","1.18663447753004","53","514","6","21026",
"GO:BP","mammary gland specification","GO:0060594","0.0650677100110809","1.18663447753004","3","514","2","21026",
"GO:BP","mitochondrial transcription","GO:0006390","0.0650677100110809","1.18663447753004","22","514","4","21026",
"GO:BP","positive regulation of MAP kinase activity","GO:0043406","0.0650677100110809","1.18663447753004","71","514","7","21026",
"GO:BP","regulation of blood circulation","GO:1903522","0.0650677100110809","1.18663447753004","256","514","15","21026",
"GO:BP","monoatomic cation transmembrane transport","GO:0098655","0.0650677100110809","1.18663447753004","877","514","36","21026",
"GO:BP","meiotic DNA repair synthesis","GO:0000711","0.0650677100110809","1.18663447753004","3","514","2","21026",
"GO:BP","negative regulation of biological process","GO:0048519","0.0650677100110809","1.18663447753004","5834","514","173","21026",
"GO:BP","endocrine process","GO:0050886","0.06627984339357365","1.1786185264051925","92","514","8","21026",
"GO:BP","cellular process involved in reproduction in multicellular organism","GO:0022412","0.06637999720200875","1.1779627702334134","424","514","21","21026",
"GO:BP","inner ear development","GO:0048839","0.06655249039187043","1.176835688600864","208","514","13","21026",
"GO:BP","salivary gland development","GO:0007431","0.06772985112118508","1.1692198790270192","37","514","5","21026",
"GO:BP","cardiac muscle tissue development","GO:0048738","0.06772985112118508","1.1692198790270192","234","514","14","21026",
"GO:BP","homologous chromosome pairing at meiosis","GO:0007129","0.06817157272554318","1.166396686665382","54","514","6","21026",
"GO:BP","ear development","GO:0043583","0.06819824021965713","1.166226831688868","235","514","14","21026",
"GO:BP","neuron development","GO:0048666","0.06819824021965713","1.166226831688868","1177","514","45","21026",
"GO:BP","regulation of behavioral fear response","GO:2000822","0.06819824021965713","1.166226831688868","11","514","3","21026",
"GO:BP","regulation of bile acid biosynthetic process","GO:0070857","0.06819824021965713","1.166226831688868","11","514","3","21026",
"GO:BP","protein transport","GO:0015031","0.06819824021965713","1.166226831688868","1444","514","53","21026",
"GO:BP","negative regulation of neuron migration","GO:2001223","0.06819824021965713","1.166226831688868","11","514","3","21026",
"GO:BP","luteinizing hormone secretion","GO:0032275","0.06819824021965713","1.166226831688868","11","514","3","21026",
"GO:BP","heart development","GO:0007507","0.06821422812899339","1.1661250307183593","605","514","27","21026",
"GO:BP","cellular response to cytokine stimulus","GO:0071345","0.06830010938813193","1.1655786007602824","854","514","35","21026",
"GO:BP","carbohydrate transport","GO:0008643","0.06868824906101824","1.1631175541262575","138","514","10","21026",
"GO:BP","cell migration involved in sprouting angiogenesis","GO:0002042","0.06941195570000738","1.1585657190646335","55","514","6","21026",
"GO:BP","striated muscle cell proliferation","GO:0014855","0.06941195570000738","1.1585657190646335","74","514","7","21026",
"GO:BP","regulation of MAPK cascade","GO:0043408","0.06941195570000738","1.1585657190646335","637","514","28","21026",
"GO:BP","D-glucose transmembrane transport","GO:1904659","0.06941195570000738","1.1585657190646335","116","514","9","21026",
"GO:BP","muscle tissue development","GO:0060537","0.06990033550337829","1.15552073974908","430","514","21","21026",
"GO:BP","reproductive system development","GO:0061458","0.07069063060731869","1.1506381441265465","318","514","17","21026",
"GO:BP","mitotic cell cycle","GO:0000278","0.07199582544141594","1.1426926846842589","892","514","36","21026",
"GO:BP","forebrain neuron differentiation","GO:0021879","0.07199582544141594","1.1426926846842589","75","514","7","21026",
"GO:BP","D-glucose import","GO:0046323","0.07199582544141594","1.1426926846842589","75","514","7","21026",
"GO:BP","positive regulation of type I interferon production","GO:0032481","0.07199582544141594","1.1426926846842589","75","514","7","21026",
"GO:BP","DNA recombination","GO:0006310","0.07199582544141594","1.1426926846842589","347","514","18","21026",
"GO:BP","organ growth","GO:0035265","0.07241199011200491","1.140189516560517","164","514","11","21026",
"GO:BP","axonogenesis","GO:0007409","0.07432857913246103","1.1288441691051585","463","514","22","21026",
"GO:BP","outflow tract septum morphogenesis","GO:0003148","0.07553530010817877","1.1218500409618049","24","514","4","21026",
"GO:BP","signal transduction","GO:0007165","0.07553530010817877","1.1218500409618049","6002","514","176","21026",
"GO:BP","hexose transmembrane transport","GO:0008645","0.07570432414962178","1.1208793133574533","119","514","9","21026",
"GO:BP","cell population proliferation","GO:0008283","0.07570432414962178","1.1208793133574533","2015","514","69","21026",
"GO:BP","endocrine hormone secretion","GO:0060986","0.07570432414962178","1.1208793133574533","57","514","6","21026",
"GO:BP","positive regulation of multicellular organismal process","GO:0051240","0.07570432414962178","1.1208793133574533","1667","514","59","21026",
"GO:BP","kidney development","GO:0001822","0.07570432414962178","1.1208793133574533","322","514","17","21026",
"GO:BP","branching morphogenesis of a nerve","GO:0048755","0.07594207700552977","1.1195175291384771","12","514","3","21026",
"GO:BP","regulation of fear response","GO:1903365","0.07594207700552977","1.1195175291384771","12","514","3","21026",
"GO:BP","positive regulation of phospholipase activity","GO:0010518","0.07594207700552977","1.1195175291384771","12","514","3","21026",
"GO:BP","lateral ventricle development","GO:0021670","0.07594207700552977","1.1195175291384771","12","514","3","21026",
"GO:BP","protein secretion","GO:0009306","0.07594207700552977","1.1195175291384771","379","514","19","21026",
"GO:BP","negative regulation of vasoconstriction","GO:0045906","0.07594207700552977","1.1195175291384771","12","514","3","21026",
"GO:BP","hormone secretion","GO:0046879","0.07641541284111042","1.1168190362313135","324","514","17","21026",
"GO:BP","transmission of nerve impulse","GO:0019226","0.07641541284111042","1.1168190362313135","77","514","7","21026",
"GO:BP","macromolecule deacylation","GO:0098732","0.07895064854856701","1.1026442980824505","58","514","6","21026",
"GO:BP","anatomical structure formation involved in morphogenesis","GO:0048646","0.07929666253799235","1.1007450910157546","1199","514","45","21026",
"GO:BP","establishment of protein localization to extracellular region","GO:0035592","0.07929666253799235","1.1007450910157546","382","514","19","21026",
"GO:BP","regulation of DNA metabolic process","GO:0051052","0.08018348317029725","1.0959150819245738","500","514","23","21026",
"GO:BP","vascular process in circulatory system","GO:0003018","0.08018348317029725","1.0959150819245738","272","514","15","21026",
"GO:BP","organelle fission","GO:0048285","0.08018348317029725","1.0959150819245738","500","514","23","21026",
"GO:BP","dentate gyrus development","GO:0021542","0.08018348317029725","1.0959150819245738","25","514","4","21026",
"GO:BP","protein localization to chromosome, centromeric region","GO:0071459","0.0827321275749324","1.0823258070255568","41","514","5","21026",
"GO:BP","trans-synaptic signaling","GO:0099537","0.08417406729093296","1.0748216872077117","781","514","32","21026",
"GO:BP","morphogenesis of an epithelium","GO:0002009","0.08417406729093296","1.0748216872077117","503","514","23","21026",
"GO:BP","anatomical structure morphogenesis","GO:0009653","0.08417406729093296","1.0748216872077117","2713","514","88","21026",
"GO:BP","regulation of secretion by cell","GO:1903530","0.08417406729093296","1.0748216872077117","563","514","25","21026",
"GO:BP","protein localization to extracellular region","GO:0071692","0.0859748257969886","1.0656286954766756","388","514","19","21026",
"GO:BP","regulation of heart growth","GO:0060420","0.0859748257969886","1.0656286954766756","60","514","6","21026",
"GO:BP","positive regulation of fat cell proliferation","GO:0070346","0.0859748257969886","1.0656286954766756","4","514","2","21026",
"GO:BP","tube morphogenesis","GO:0035239","0.0859748257969886","1.0656286954766756","879","514","35","21026",
"GO:BP","negative regulation of D-glucose import","GO:0046325","0.0859748257969886","1.0656286954766756","13","514","3","21026",
"GO:BP","action potential","GO:0001508","0.0859748257969886","1.0656286954766756","172","514","11","21026",
"GO:BP","positive regulation of osteoclast development","GO:2001206","0.0859748257969886","1.0656286954766756","4","514","2","21026",
"GO:BP","cell division","GO:0051301","0.0859748257969886","1.0656286954766756","658","514","28","21026",
"GO:BP","regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling","GO:0060665","0.0859748257969886","1.0656286954766756","4","514","2","21026",
"GO:BP","motor behavior","GO:0061744","0.0859748257969886","1.0656286954766756","26","514","4","21026",
"GO:BP","inorganic ion transmembrane transport","GO:0098660","0.0859748257969886","1.0656286954766756","944","514","37","21026",
"GO:BP","exocytosis","GO:0006887","0.08622083386066699","1.0643877813042697","360","514","18","21026",
"GO:BP","renal system development","GO:0072001","0.08636286466129385","1.0636729605254092","332","514","17","21026",
"GO:BP","response to cytokine","GO:0034097","0.08636286466129385","1.0636729605254092","947","514","37","21026",
"GO:BP","regulation of primary metabolic process","GO:0080090","0.08664565298481859","1.062253220971563","5390","514","159","21026",
"GO:BP","metal ion transport","GO:0030001","0.08664565298481859","1.062253220971563","883","514","35","21026",
"GO:BP","organelle assembly","GO:0070925","0.08664565298481859","1.062253220971563","1046","514","40","21026",
"GO:BP","rhythmic process","GO:0048511","0.08693037676270418","1.0608284381062292","305","514","16","21026",
"GO:BP","monoatomic ion transport","GO:0006811","0.08829097258078603","1.0540836991265625","1282","514","47","21026",
"GO:BP","positive regulation of response to stimulus","GO:0048584","0.08927757106062899","1.0492576339230215","2331","514","77","21026",
"GO:BP","regulation of neural precursor cell proliferation","GO:2000177","0.08930894978969957","1.0491050176005818","103","514","8","21026",
"GO:BP","cellular response to leukemia inhibitory factor","GO:1990830","0.08930894978969957","1.0491050176005818","103","514","8","21026",
"GO:BP","hormone transport","GO:0009914","0.09056676732054243","1.043031133636348","335","514","17","21026",
"GO:BP","heart process","GO:0003015","0.09234372176486853","1.0345926258930336","253","514","14","21026",
"GO:BP","nuclear division","GO:0000280","0.09276988262313111","1.032592992892219","452","514","21","21026",
"GO:BP","positive regulation of neural precursor cell proliferation","GO:2000179","0.09303185575072583","1.0313683158777773","62","514","6","21026",
"GO:BP","regulation of cell cycle","GO:0051726","0.09312036097563733","1.0309553491737449","1087","514","41","21026",
"GO:BP","muscle organ development","GO:0007517","0.09312036097563733","1.0309553491737449","365","514","18","21026",
"GO:BP","blood vessel development","GO:0001568","0.09535304822729065","1.0206654189563946","732","514","30","21026",
"GO:BP","regulation of interleukin-6 production","GO:0032675","0.09535304822729065","1.0206654189563946","152","514","10","21026",
"GO:BP","neuron projection development","GO:0031175","0.09535304822729065","1.0206654189563946","1023","514","39","21026",
"GO:BP","learning or memory","GO:0007611","0.09535304822729065","1.0206654189563946","282","514","15","21026",
"GO:BP","interleukin-6 production","GO:0032635","0.09535304822729065","1.0206654189563946","152","514","10","21026",
"GO:BP","response to leukemia inhibitory factor","GO:1990823","0.09535304822729065","1.0206654189563946","105","514","8","21026",
"GO:BP","positive regulation of chromosome organization","GO:2001252","0.09535304822729065","1.0206654189563946","105","514","8","21026",
"GO:BP","regulation of bile acid metabolic process","GO:1904251","0.0958985925955398","1.0181877664735077","14","514","3","21026",
"GO:BP","response to tumor necrosis factor","GO:0034612","0.0958985925955398","1.0181877664735077","229","514","13","21026",
"GO:BP","meiotic sister chromatid cohesion","GO:0051177","0.0958985925955398","1.0181877664735077","14","514","3","21026",
"GO:BP","positive regulation of cellular process","GO:0048522","0.0963167189360783","1.0162983202331193","5920","514","172","21026",
"GO:BP","positive regulation of inflammatory response","GO:0050729","0.0978449772193536","1.009461463535942","153","514","10","21026",
"GO:BP","host-mediated perturbation of symbiont process","GO:0051851","0.09823778490562922","1.0077214386917899","106","514","8","21026",
"GO:BP","response to peptide","GO:1901652","0.09837523689314667","1.0071142088258902","962","514","37","21026",
"GO:BP","maintenance of synapse structure","GO:0099558","0.09837523689314667","1.0071142088258902","28","514","4","21026",
"GO:BP","blood circulation","GO:0008015","0.0990793663585634","1.004016779517159","518","514","23","21026",
"GO:BP","cell morphogenesis","GO:0000902","0.09930682213777814","1.0030209155024","996","514","38","21026",
"GO:BP","positive regulation of organ growth","GO:0046622","0.1000302605997198","0.999868599765473","45","514","5","21026",
"GO:BP","cell junction organization","GO:0034330","0.10101366324376383","0.9956198789892214","834","514","33","21026",
"GO:BP","reproductive structure development","GO:0048608","0.10137744076110496","0.9940586765902174","314","514","16","21026",
"GO:BP","regulation of protein metabolic process","GO:0051246","0.10139497998208852","0.9939835461865746","1855","514","63","21026",
"GO:BP","regulated exocytosis","GO:0045055","0.10190190673688744","0.9918176896190765","232","514","13","21026",
"GO:BP","spindle organization","GO:0007051","0.10312362056406335","0.9866418477552037","206","514","12","21026",
"GO:BP","tissue morphogenesis","GO:0048729","0.10324233907499765","0.9861421645712475","614","514","26","21026",
"GO:BP","regulation of locomotion","GO:0040012","0.10324233907499765","0.9861421645712475","1067","514","40","21026",
"GO:BP","cilium organization","GO:0044782","0.10324233907499765","0.9861421645712475","431","514","20","21026",
"GO:BP","negative regulation of cellular process","GO:0048523","0.10428039195782546","0.9817973451216525","5629","514","164","21026",
"GO:BP","anterograde trans-synaptic signaling","GO:0098916","0.1045416050544465","0.9807108363509703","775","514","31","21026",
"GO:BP","induction of positive chemotaxis","GO:0050930","0.1045416050544465","0.9807108363509703","15","514","3","21026",
"GO:BP","regulation of protein complex stability","GO:0061635","0.1045416050544465","0.9807108363509703","15","514","3","21026",
